Ano: 1988 | Categoria: 44_WOOD_AND_ARTICLES_OF_WOOD_WOOD_CHARCOAL | Máximo: 316193389.0 | Mínimo: 381.0
Ano: 1988 | Categoria: 36_EXPLOSIVES_PYROTECHNICS_MATCHES_PYROPHORICS_ETC | Máximo: 26376000.0 | Mínimo: 60.0
Ano: 1988 | Categoria: 83_MISCELLANEOUS_ARTICLES_OF_BASE_METAL | Máximo: 305579008.0 | Mínimo: 173.0
Ano: 1988 | Categoria: 97_WORKS_OF_ART_COLLECTORS_PIECES_AND_ANTIQUES | Máximo: 1403889167.0 | Mínimo: 490.0
Ano: 1988 | Categoria: 06_LIVE_TREES_PLANTS_BULBS_ROOTS_CUT_FLOWERS_ETC | Máximo: 867214976.0 | Mínimo: 25.0
Ano: 1988 | Categoria: 53_VEGETABLE_TEXTILE_FIBRES_NES_PAPER_YARN_WOVEN_FABRI | Máximo: 87921016.0 | Mínimo: 4.0
Ano: 1988 | Categoria: 68_STONE_PLASTER_CEMENT_ASBESTOS_MICA_ETC_ARTICLES | Máximo: 153707008.0 | Mínimo: 26.0
Ano: 1988 | Categoria: 71_PEARLS_PRECIOUS_STONES_METALS_COINS_ETC | Máximo: 3957755173.0 | Mínimo: 57.0
Ano: 1988 | Categoria: 76_ALUMINIUM_AND_ARTICLES_THEREOF | Máximo: 3567393277.0 | Mínimo: 175.0
Ano: 1988 | Categoria: 22_BEVERAGES_SPIRITS_AND_VINEGAR | Máximo: 610676992.0 | Mínimo: 2.0
Ano: 1988 | Categoria: 24_TOBACCO_AND_MANUFACTURED_TOBACCO_SUBSTITUTES | Máximo: 749356106.0 | Mínimo: 57.0
Ano: 1988 | Categoria: 54_MANMADE_FILAMENTS | Máximo: 460137984.0 | Mínimo: 25.0
Ano: 1988 | Categoria: 60_KNITTED_OR_CROCHETED_FABRIC | Máximo: 162314000.0 | Mínimo: 169.0
Ano: 1988 | Categoria: 27_MINERAL_FUELS_OILS_DISTILLATION_PRODUCTS_ETC | Máximo: 18423300970.0 | Mínimo: 51.0
Ano: 1988 | Categoria: 45_CORK_AND_ARTICLES_OF_CORK | Máximo: 221619312.0 | Mínimo: 45.0
Ano: 1988 | Categoria: 74_COPPER_AND_ARTICLES_THEREOF | Máximo: 670355008.0 | Mínimo: 141.0
